name,chineseName,englishName,pinyinName,sku,description,category,unit,requiresPrescription,basePrice,metadata,status
"赤石脂","赤石脂","Red halloysite","chishizhi","TCM-CH-022","赤石脂，中药材","收敛止血药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""赤石脂"""",""""pricePerGram"""":0.012}}","active"
"磁石","磁石","磁shi","磁shi","TCM-SH-023","平肝息风，适用于肝阳上亢","平肝息风药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""磁石"""",""""pricePerGram"""":0.012}}","active"
"赤小豆","赤小豆","赤dou","赤dou","TCM-DO-024","利水消肿，适用于水湿停滞","利水渗湿药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""赤小豆"""",""""pricePerGram"""":0.012}}","active"
"倒扣草","倒扣草","倒扣cao","倒扣cao","TCM-CA-025","倒扣草，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""倒扣草"""",""""pricePerGram"""":0.012}}","active"
"滑石粉","滑石粉","Huashi","huashi","TCM-HU-026","滑石粉，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""滑石粉"""",""""pricePerGram"""":0.012}}","active"
"老鹳草","老鹳草","老鹳cao","老鹳cao","TCM-CA-027","老鹳草，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""老鹳草"""",""""pricePerGram"""":0.012}}","active"
"栗壳","栗壳","栗壳","栗壳","TCM-XV-028","栗壳，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""栗壳"""",""""pricePerGram"""":0.012}}","active"
"麦芽","麦芽","Malt","maiya","TCM-MA-029","麦芽，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""麦芽"""",""""pricePerGram"""":0.012}}","active"
"炒麦芽","炒麦芽","Malt","maiya","TCM-MA-030","炒麦芽，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""炒麦芽"""",""""pricePerGram"""":0.012}}","active"
"牡蛎","牡蛎","Oyster shell","muli","TCM-MU-031","牡蛎，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""牡蛎"""",""""pricePerGram"""":0.012}}","active"
"青蒿","青蒿","Qinghao","qinghao","TCM-QI-032","青蒿，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""青蒿"""",""""pricePerGram"""":0.012}}","active"
"忍冬藤","忍冬藤","忍dongteng","忍dongteng","TCM-DO-033","忍冬藤，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""忍冬藤"""",""""pricePerGram"""":0.012}}","active"
"石膏","石膏","Gypsum","shigao","TCM-SH-034","石膏，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""石膏"""",""""pricePerGram"""":0.012}}","active"
"银杏叶","银杏叶","Yin杏ye","yin杏ye","TCM-YI-035","银杏叶，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""银杏叶"""",""""pricePerGram"""":0.012}}","active"
"泽兰","泽兰","泽兰","泽兰","TCM-DW-036","泽兰，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""泽兰"""",""""pricePerGram"""":0.012}}","active"
"棕榈炭","棕榈炭","棕榈炭","棕榈炭","TCM-FC-037","棕榈炭，中药材","其他中药","克",true,0.012,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""棕榈炭"""",""""pricePerGram"""":0.012}}","active"
"谷芽","谷芽","谷ya","谷ya","TCM-YA-038","谷芽，中药材","其他中药","克",true,0.0125,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""谷芽"""",""""pricePerGram"""":0.0125}}","active"
"炒谷芽","炒谷芽","谷ya","谷ya","TCM-YA-039","炒谷芽，中药材","其他中药","克",true,0.0125,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""炒谷芽"""",""""pricePerGram"""":0.0125}}","active"
"败酱草","败酱草","Baijiangcao","baijiangcao","TCM-BA-040","败酱草，中药材","其他中药","克",true,0.013,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""败酱草"""",""""pricePerGram"""":0.013}}","active"
"路路通","路路通","路路通","路路通","TCM-NN-041","路路通，中药材","其他中药","克",true,0.013,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""路路通"""",""""pricePerGram"""":0.013}}","active"
"薏苡仁","薏苡仁","薏yiren","薏yiren","TCM-YI-042","薏苡仁，中药材","其他中药","克",true,0.01304,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""薏苡仁"""",""""pricePerGram"""":0.01304}}","active"
"小桑枝","小桑枝","桑zhi","桑zhi","TCM-ZH-043","小桑枝，中药材","其他中药","克",true,0.0135,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""小桑枝"""",""""pricePerGram"""":0.0135}}","active"
"炙枇杷叶","炙枇杷叶","Eriobotrya japonica","pipaye","TCM-PI-044","炙枇杷叶，中药材","其他中药","克",true,0.0135,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""炙枇杷叶"""",""""pricePerGram"""":0.0135}}","active"
"瞿麦","瞿麦","Qumai","qumai","TCM-QU-045","瞿麦，中药材","其他中药","克",true,0.0135,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""瞿麦"""",""""pricePerGram"""":0.0135}}","active"
"益母草","益母草","Leonurus japonicus","yimucao","TCM-YI-046","益母草，中药材","其他中药","克",true,0.0135,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""益母草"""",""""pricePerGram"""":0.0135}}","active"
"红枣","红枣","Hong枣","hong枣","TCM-HO-047","红枣，中药材","其他中药","克",true,0.01392,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""红枣"""",""""pricePerGram"""":0.01392}}","active"
"黑豆","黑豆","Heidou","heidou","TCM-HE-048","黑豆，中药材","其他中药","克",true,0.014,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""黑豆"""",""""pricePerGram"""":0.014}}","active"
"红藤","红藤","Hongteng","hongteng","TCM-HO-049","红藤，中药材","其他中药","克",true,0.014,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""红藤"""",""""pricePerGram"""":0.014}}","active"
"煅牡蛎","煅牡蛎","煅牡li","煅牡li","TCM-LI-050","煅牡蛎，中药材","其他中药","克",true,0.014,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""煅牡蛎"""",""""pricePerGram"""":0.014}}","active"
"鱼腥草","鱼腥草","鱼xingcao","鱼xingcao","TCM-XI-051","鱼腥草，中药材","其他中药","克",true,0.014,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.822Z"""",""""originalData"""":{""""chineseName"""":""""鱼腥草"""",""""pricePerGram"""":0.014}}","active"
"阳起石","阳起石","阳起shi","阳起shi","TCM-SH-052","阳起石，中药材","其他中药","克",true,0.014,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""阳起石"""",""""pricePerGram"""":0.014}}","active"
"车前草","车前草","车前cao","车前cao","TCM-CA-053","车前草，中药材","其他中药","克",true,0.0145,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""车前草"""",""""pricePerGram"""":0.0145}}","active"
"白头翁","白头翁","Bai头翁","bai头翁","TCM-BA-054","白头翁，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""白头翁"""",""""pricePerGram"""":0.015}}","active"
"椿树皮","椿树皮","椿树pi","椿树pi","TCM-PI-055","椿树皮，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""椿树皮"""",""""pricePerGram"""":0.015}}","active"
"大腹皮","大腹皮","腹pi","腹pi","TCM-PI-056","大腹皮，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""大腹皮"""",""""pricePerGram"""":0.015}}","active"
"淡豆豉","淡豆豉","淡dou豉","淡dou豉","TCM-DO-057","淡豆豉，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""淡豆豉"""",""""pricePerGram"""":0.015}}","active"
"海桐皮","海桐皮","Hai桐pi","hai桐pi","TCM-HA-058","海桐皮，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""海桐皮"""",""""pricePerGram"""":0.015}}","active"
"荷叶","荷叶","荷ye","荷ye","TCM-YE-059","荷叶，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""荷叶"""",""""pricePerGram"""":0.015}}","active"
"花生衣","花生衣","Hua生衣","hua生衣","TCM-HU-060","花生衣，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""花生衣"""",""""pricePerGram"""":0.015}}","active"
"火炭母","火炭母","Huo炭mu","huo炭mu","TCM-HU-061","火炭母，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""火炭母"""",""""pricePerGram"""":0.015}}","active"
"决明子","决明子","Juemingzi","juemingzi","TCM-JU-062","决明子，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""决明子"""",""""pricePerGram"""":0.015}}","active"
"荔枝核","荔枝核","荔zhihe","荔zhihe","TCM-ZH-063","荔枝核，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""荔枝核"""",""""pricePerGram"""":0.015}}","active"
"木棉花","木棉花","Mu棉hua","mu棉hua","TCM-MU-064","木棉花，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""木棉花"""",""""pricePerGram"""":0.015}}","active"
"木贼","木贼","Mu贼","mu贼","TCM-MU-065","木贼，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""木贼"""",""""pricePerGram"""":0.015}}","active"
"蜜枣+A112","蜜枣+A112","枣","枣","TCM-IL-066","蜜枣+A112，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""蜜枣+A112"""",""""pricePerGram"""":0.015}}","active"
"枇杷叶","枇杷叶","Eriobotrya japonica","pipaye","TCM-PI-067","枇杷叶，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""枇杷叶"""",""""pricePerGram"""":0.015}}","active"
"桑寄生","桑寄生","桑寄生","桑寄生","TCM-DO-068","桑寄生，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""桑寄生"""",""""pricePerGram"""":0.015}}","active"
"石榴皮","石榴皮","Shi榴pi","shi榴pi","TCM-SH-069","石榴皮，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""石榴皮"""",""""pricePerGram"""":0.015}}","active"
"石南藤","石南藤","Shinanteng","shinanteng","TCM-SH-070","石南藤，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""石南藤"""",""""pricePerGram"""":0.015}}","active"
"溪黄草","溪黄草","溪huangcao","溪huangcao","TCM-HU-071","溪黄草，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""溪黄草"""",""""pricePerGram"""":0.015}}","active"
"仙鹤草","仙鹤草","Agrimonia pilosa","xianhecao","TCM-XI-072","仙鹤草，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""仙鹤草"""",""""pricePerGram"""":0.015}}","active"
"香薷","香薷","Xiangru","xiangru","TCM-XI-073","香薷，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""香薷"""",""""pricePerGram"""":0.015}}","active"
"薏仁","薏仁","薏ren","薏ren","TCM-RE-074","薏仁，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""薏仁"""",""""pricePerGram"""":0.015}}","active"
"赭石","赭石","赭shi","赭shi","TCM-SH-075","赭石，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""赭石"""",""""pricePerGram"""":0.015}}","active"
"紫石英","紫石英","Zishi英","zishi英","TCM-ZI-076","紫石英，中药材","其他中药","克",true,0.015,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""紫石英"""",""""pricePerGram"""":0.015}}","active"
"合欢皮","合欢皮","合欢pi","合欢pi","TCM-PI-077","合欢皮，中药材","其他中药","克",true,0.016,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""合欢皮"""",""""pricePerGram"""":0.016}}","active"
"菊苣","菊苣","菊ju","菊ju","TCM-JU-078","菊苣，中药材","其他中药","克",true,0.016,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""菊苣"""",""""pricePerGram"""":0.016}}","active"
"毛冬青","毛冬青","Maodongqing","maodongqing","TCM-MA-079","毛冬青，中药材","其他中药","克",true,0.016,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""毛冬青"""",""""pricePerGram"""":0.016}}","active"
"青果","青果","Qingguo","qingguo","TCM-QI-080","青果，中药材","其他中药","克",true,0.016,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""青果"""",""""pricePerGram"""":0.016}}","active"
"山楂叶","山楂叶","Shanzhaye","shanzhaye","TCM-SH-081","山楂叶，中药材","其他中药","克",true,0.016,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""山楂叶"""",""""pricePerGram"""":0.016}}","active"
"石决明","石决明","Haliotis diversicolor","shijueming","TCM-SH-082","石决明，中药材","其他中药","克",true,0.016,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""石决明"""",""""pricePerGram"""":0.016}}","active"
"红枣","红枣","Hong枣","hong枣","TCM-HO-083","红枣，中药材","其他中药","克",true,0.0165,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""红枣"""",""""pricePerGram"""":0.0165}}","active"
"首乌藤","首乌藤","Shouwuteng","shouwuteng","TCM-SH-084","首乌藤，中药材","其他中药","克",true,0.01696,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""首乌藤"""",""""pricePerGram"""":0.01696}}","active"
"艾叶","艾叶","艾ye","艾ye","TCM-YE-085","艾叶，中药材","其他中药","克",true,0.017,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""艾叶"""",""""pricePerGram"""":0.017}}","active"
"卷柏","卷柏","卷柏","卷柏","TCM-VD-086","卷柏，中药材","其他中药","克",true,0.017,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""卷柏"""",""""pricePerGram"""":0.017}}","active"
"胡芦巴","胡芦巴","胡luba","胡luba","TCM-LU-087","胡芦巴，中药材","其他中药","克",true,0.0174,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""胡芦巴"""",""""pricePerGram"""":0.0174}}","active"
"布渣叶","布渣叶","布zhaye","布zhaye","TCM-ZH-088","布渣叶，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""布渣叶"""",""""pricePerGram"""":0.018}}","active"
"穿心莲","穿心莲","穿心lian","穿心lian","TCM-LI-089","穿心莲，中药材","其他中药","克",true,0.018,"{""""expandedBy"""":""""AI"""",""""expandedAt"""":""""2025-06-12T08:58:12.823Z"""",""""originalData"""":{""""chineseName"""":""""穿心莲"""",""""pricePerGram"""":0.018}}","active"
