中文名,英文名,拼音名,SKU,分类,单位,需要处方,基础价格,状态
紫花地丁_46,Viola philippica 46,zihuadiding_46,ZHDD,其他中药,g,否,0.75,active
野菊花_47,Chrysanthemum indicum 47,yejuhua_47,YJH,清热药,g,否,0.66,active
夏枯草_48,Prunella vulgaris 48,xiakucao_48,XKC,其他中药,g,否,0.51,active
决明子_49,Cassia obtusifolia 49,juemingzi_49,JMZ,其他中药,g,否,0.4,active
菊花_50,Chrysanthemum morifolium 50,juhua_50,JH,其他中药,g,否,2.04,active
当归_51,Angelica sinensis 51,danggui_51,danggui51,补益药,g,否,0.93,active
川芎_52,Ligusticum chuanxiong 52,chuanxiong_52,chuanxiong52,活血药,g,否,0.99,active
白芍_53,Paeonia lactiflora 53,baishao_53,baishao53,其他中药,g,否,1.17,active
熟地黄_54,Rehmannia glutinosa 54,shudihuang_54,shudihuang54,补益药,g,否,0.81,active
人参_55,Panax ginseng 55,renshen_55,renshen55,补益药,g,否,15.54,active
党参_56,Codonopsis pilosula 56,dangshen_56,dangshen56,补益药,g,否,1.29,active
黄芪_57,Astragalus membranaceus 57,huangqi_57,huangqi57,补益药,g,否,0.67,active
甘草_58,Glycyrrhiza uralensis 58,gancao_58,gancao58,其他中药,g,否,0.49,active
陈皮_59,Citrus reticulata 59,chenpi_59,chenpi59,理气药,g,否,0.58,active
半夏_60,Pinellia ternata 60,banxia_60,banxia60,化痰药,g,是,1.84,active
茯苓_61,Poria cocos 61,fuling_61,fuling61,化痰药,g,否,0.76,active
白术_62,Atractylodes macrocephala 62,baizhu_62,baizhu62,化痰药,g,否,1.13,active
薄荷_63,Mentha haplocalyx 63,bohe_63,bohe63,其他中药,g,否,0.37,active
厚朴_64,Magnolia officinalis 64,houpo_64,houpo64,其他中药,g,否,0.89,active
杜仲_65,Eucommia ulmoides 65,duzhong_65,duzhong65,补益药,g,否,1.54,active
枸杞子_66,Lycium barbarum 66,gouqizi_66,gouqizi66,补益药,g,否,2.29,active
牛膝_67,Achyranthes bidentata 67,niuxi_67,niuxi67,其他中药,g,否,0.84,active
车前子_68,Plantago asiatica 68,cheqianzi_68,cheqianzi68,其他中药,g,否,1.02,active
知母_69,Anemarrhena asphodeloides 69,zhimu_69,zhimu69,其他中药,g,否,1.05,active
浙贝母_70,Fritillaria thunbergii 70,zhebeimu_70,zhebeimu70,止咳药,g,否,8.55,active
川贝母_71,Fritillaria cirrhosa 71,chuanbeimu_71,chuanbeimu71,止咳药,g,否,25.02,active
藏红花_72,Crocus sativus 72,zanghonghua_72,zanghonghua72,活血药,g,是,45.02,active
番泻叶_73,Cassia angustifolia 73,fanxieye_73,fanxieye73,其他中药,g,否,0.32,active
诃子_74,Terminalia chebula 74,hezi_74,hezi74,其他中药,g,否,0.95,active
没药_75,Commiphora myrrha 75,moyao_75,moyao75,其他中药,g,否,3.24,active
乳香_76,Boswellia carterii 76,ruxiang_76,ruxiang76,其他中药,g,否,2.83,active
血竭_77,Daemonorops draco 77,xuejie_77,xuejie77,其他中药,g,否,12.53,active
阿胶_78,Equus asinus 78,ajiao_78,ajiao78,其他中药,g,否,18.09,active
龟板_79,Chinemys reevesii 79,guiban_79,guiban79,其他中药,g,否,6.6,active
鳖甲_80,Trionyx sinensis 80,biejia_80,biejia80,其他中药,g,否,4.25,active
蛤蚧_81,Gekko gecko 81,gejie_81,gejie81,其他中药,g,否,15.81,active
海马_82,Hippocampus kelloggii 82,haima_82,haima82,其他中药,g,否,22.04,active
石决明_83,Haliotis diversicolor 83,shijueming_83,shijueming83,其他中药,g,否,1.2,active
夜明砂_84,Vespertilio superans 84,yemingsha_84,yemingsha84,其他中药,g,否,2.41,active
五倍子_85,Rhus chinensis 85,wubeizi_85,wubeizi85,其他中药,g,否,1.23,active
五加皮_86,Acanthopanax gracilistylus 86,wujiapi_86,wujiapi86,其他中药,g,否,0.98,active
五味子_87,Schisandra chinensis 87,wuweizi_87,wuweizi87,其他中药,g,否,3.56,active
五指毛桃_88,Ficus hirta 88,wuzhimaotao_88,wuzhimaotao88,其他中药,g,否,0.68,active
仙茅_89,Curculigo orchioides 89,xianmao_89,xianmao89,其他中药,g,否,2.1,active
佛手_90,Citrus medica 90,foshou_90,foshou90,理气药,g,否,1.85,active
金银花_91,Lonicera japonica 91,jinyinhua_91,jinyinhua91,清热药,g,否,1.79,active
连翘_92,Forsythia suspensa 92,lianqiao_92,lianqiao92,清热药,g,否,1.34,active
板蓝根_93,Isatis tinctoria 93,banlangen_93,banlangen93,清热药,g,否,0.93,active
大青叶_94,Isatis indigotica 94,daqingye_94,daqingye94,清热药,g,否,0.49,active
蒲公英_95,Taraxacum mongolicum 95,pugongying_95,pugongying95,清热药,g,否,0.63,active
紫花地丁_96,Viola philippica 96,zihuadiding_96,zihuadiding96,其他中药,g,否,0.83,active
野菊花_97,Chrysanthemum indicum 97,yejuhua_97,yejuhua97,清热药,g,否,0.73,active
夏枯草_98,Prunella vulgaris 98,xiakucao_98,xiakucao98,其他中药,g,否,0.55,active
决明子_99,Cassia obtusifolia 99,juemingzi_99,juemingzi99,其他中药,g,否,0.41,active
菊花_100,Chrysanthemum morifolium 100,juhua_100,juhua100,其他中药,g,否,1.99,active
