中文名,Price/g
女贞子,0.019
酒女贞子,0.019
神曲茶,0.019
广金钱草,0.01914
苍耳子,0.0193
白芥子,0.0195
黑芝麻,0.0195
夜交藤,0.0195
桂枝,0.0198
白茅根,0.02
半枝莲,0.02
陈皮丝,0.02
大飞扬,0.02
淡竹叶,0.02
冬瓜子,0.02
冬葵子,0.02
浮萍,0.02
浮小麦,0.02
葫芦巴,0.02
鸡血藤,0.02
鸡矢藤,0.02
莲房,0.02
马鞭草,0.02
马齿苋,0.02
芒果核,0.02
密蒙花,0.02
绵茵陈,0.02
青葙子,0.02
桑叶,0.02
葶苈子,0.02
乌梅,0.02
天葵子,0.021
紫花地丁,0.021
半边莲,0.022
炒陈皮丝,0.022
瓜蒌皮,0.022
金钱草,0.022
炒荆芥,0.022
佩兰,0.022
六神曲,0.022
玉米须,0.022
泽泻,0.022
枳实,0.022
炒枳实,0.022
竹茹,0.022
萆薢,0.0225
白扁豆,0.023
槐花,0.023
鸡蛋花,0.023
藕节,0.023
炒山楂,0.023
丝瓜络,0.023
香附,0.023
香橼,0.023
槲寄生,0.02348
葛根,0.0235
矮地茶,0.024
厚朴,0.024
昆布,0.024
炒神曲,0.024
艾叶炭,0.025
炒白扁豆,0.025
刺五加,0.025
垂盆草,0.025
地榆,0.025
杜仲丝,0.025
杜仲,0.025
黑老虎根,0.025
藿香,0.025
韭菜子,0.025
橘核,0.025
硫磺,0.025
龙骨,0.025
芦根,0.025
芒硝,0.025
蛇舌草,0.025
生首乌,0.025
玄参,0.025
炒苏子,0.025
干姜,0.0255
海藻,0.026
诃子,0.026
炒丹皮,0.026
蒲公英,0.026
沙姜,0.026
木香,0.02608
胆矾,0.0265
枳壳,0.0265
冬瓜皮,0.027
木通,0.027
檞寄生,0.027
三棱,0.027
薄荷叶,0.028
海风藤,0.028
牛蒡片,0.028
苏木,0.028
炒王不留行子,0.028
炒枳壳,0.028
紫苏子,0.028
大黄炭,0.0285
龙齿,0.0285
木瓜,0.029
白芷长片,0.0291
苦参,0.0295
冬凌草,0.03
分心木,0.03
姜黄,0.03
雪梨干,0.03
熟薏仁,0.03
紫苏梗,0.03
石韦,0.03044
柿蒂,0.03044
广藿香,0.031
草果,0.03195
蒺藜,0.032
芡实,0.032
夏枯草,0.032
楮实子,0.033
地肤子,0.033
盐杜仲,0.033
杜仲炭,0.033
炮姜,0.033
菟丝子,0.034
鹿衔草,0.03478
白芷圆片,0.035
丹参粒,0.035
甘草,0.035
高良姜,0.035
红莲,0.035
生晒淮山,0.035
牛蒡子,0.035
桑椹子,0.035
石苇,0.035
天花粉,0.035
紫苏叶,0.035
车前子,0.0355
白豆蔻,0.036
板蓝根,0.036
独活,0.036
茯苓粒,0.036
枸杞子,0.036
墨旱莲,0.036
蛇床子,0.036
川芎,0.037
桂圆,0.037
炙甘草,0.038
黄芪,0.038
炮姜炭,0.038
土茯苓,0.038
乌药,0.038
益智仁,0.038
千年健,0.039
知母,0.039
八角,0.0395
莪术,0.0395
肉桂,0.0395
生地大片,0.03999
生地小片,0.03999
茺蔚子,0.04
川续断,0.04
鹅不吃草,0.04
鹿含草,0.04
辛夷,0.04174
骨碎补,0.042
山栀子,0.042
焦栀子,0.042
徐长卿,0.042
山药,0.043
生地小片,0.043
熟地小片,0.043
大蓟,0.044
天冬,0.044
五倍子,0.044
瓜蒌仁,0.045
炙黄芪,0.045
金樱子,0.045
没药,0.045
射干,0.045
炙首乌,0.045
吴茱萸,0.045
郁金,0.045
石菖蒲,0.046
枸杞子,0.047
川牛膝,0.048
紫丹参,0.048
杭菊花,0.048
黄芪,0.048
秦艽,0.048
桑白皮,0.048
蜜桑白皮,0.048
薤白,0.048
辛荑花,0.048
淫羊藿,0.048
桔梗,0.0488
五味子,0.049
筚茇,0.05
大黄,0.05
杜仲,0.05
佛手,0.05
怀牛膝,0.05
绞股蓝,0.05
腊梅花,0.05
乳香,0.05
砂仁,0.05
五指毛桃,0.05
百合,0.051
紫草茸,0.052
金果榄,0.0525
茯苓卷,0.053
无花果,0.053
茯神,0.054
黄芪顶切,0.054
白前,0.055
虫草花,0.055
丁香,0.055
煅龙骨,0.055
牛大力,0.055
千层纸,0.055
五加皮,0.055
仙茅,0.055
野菊花,0.055
皂角刺,0.055
赤芍,0.0558
百部,0.056
炙百部,0.056
防风,0.056
炒防风,0.056
桃胶,0.056
鬼羽箭,0.058
黄精,0.058
千斤拔,0.058
全瓜蒌,0.058
柴胡,0.0585
黄芩,0.059
黑灵芝片,0.0598
桂圆,0.06
荆芥穗,0.06
锁阳,0.06
桃仁,0.06
旋覆花,0.06
马勃,0.06086
北沙参节,0.062
橘红,0.065
莲子芯,0.065
前胡,0.065
徐长卿,0.065
玉竹,0.065
北沙参,0.066
白芍小圆片,0.068
黄柏,0.068
炒黄柏,0.068
肉豆蔻,0.068
威灵仙,0.068
合欢花,0.07
山茱萸,0.07
桃花,0.07
南沙参,0.07218
巴戟天,0.07392
白莲子,0.075
苍术,0.075
地骨皮,0.075
藁本,0.075
琥珀粉,0.075
洛神花,0.075
月季花,0.075
海螵蛸,0.08
龙脷叶,0.08
玫瑰花,0.08
郁李仁,0.08
巴戟,0.085
白芍大圆片,0.085
钩藤,0.087
太子参,0.087
龙牙百合,0.088
炒白芍,0.09
葛花,0.09
花椒,0.09
沙苑子,0.09
肉苁蓉,0.0913
白蔹,0.095
柏子仁,0.095
谷精草,0.095
酸枣仁,0.095
炒酸枣仁,0.095
清半夏,0.09566
灯芯草,0.097
蔓荆子,0.098
巴戟肉,0.1
升麻,0.1
蜜升麻,0.1
连翘,0.103
麦冬,0.105
牡丹皮,0.105
白薇,0.108
猪苓,0.109
扁豆衣,0.11
冰片,0.11
覆盆子,0.11
金银花,0.11
紫菀,0.11
炙紫菀,0.11
白术统货,0.115
浙贝母,0.118
鳖甲,0.12
麦冬特级,0.12
延胡索,0.12
羌活,0.125
红花,0.126
法半夏,0.13
姜半夏,0.13
贡菊花,0.13
银柴胡,0.13
党参五级,0.132
雪莲子,0.132
白术特级,0.138
海金沙,0.138
胖大海,0.14
远志,0.148
白术特级,0.15
炒白术,0.15
当归全片,0.15
田七片,0.15
蕤仁,0.155
北柴胡,0.16
三七粉,0.16
细辛,0.16
炙远志,0.165
白鲜皮,0.175
党参二级,0.18
川贝,0.185
龙胆草,0.185
红参须,0.2
金银花,0.2
莲须,0.2
猫爪草,0.2
天麻,0.2
通草,0.2
蝉蜕,0.22
黄连,0.22
当归头片,0.26
白参片,0.3
胡黄连,0.3
红参片,0.33
